angulo_cotovelo,angulo_braco,altura_punho,label
152.3821933447702,7.859909969459023,0.8554817765973144,0
149.5412064765514,9.257527714770443,0.843097451238767,0
147.217990370485,9.18787996150533,0.8197301829947017,0
134.38894780944065,9.8520265987516,0.9479308025441631,0
130.7490976840226,1.300801868111149,0.9085526450111271,0
128.26346079336068,1.7983887575857493,0.8636121022249298,0
123.95022897601902,8.796390431130625,0.8218665649571647,0
120.13315423607462,10.0220392663349,0.7728711199807394,0
115.33477324501442,10.332992016926827,0.7258961122291246,0
113.08161155924682,5.13136748598075,0.6688650948860735,0
112.592539037668,4.698641781307413,0.6497470858639166,0
106.07361766197789,12.695505280390295,0.59107742730701,0
101.32093380392507,9.191829652666824,0.5550012478933037,0
101.38903376240371,7.218591158273596,0.5310652679173898,0
92.48431100538977,7.110432464229989,0.4696559056694767,0
91.24115017915445,6.759422672855443,0.4369427035831527,0
85.45913132046674,8.6184134989754,0.3893251730113354,0
81.15056187736961,6.768633634603545,0.34984995872470503,0
77.47810962792248,7.444461008945629,0.31669497220009124,0
74.92889692227527,8.801262012508525,0.3056042279797446,0
70.88538761804773,9.393318248097671,0.2732706182907408,0
68.28846395905492,11.941777387776165,0.25830119620244285,0
64.8204794098596,12.40388081220366,0.2351507308542949,0
61.87407941138883,11.134814241625731,0.21970272627095583,0
59.32890689807444,12.15677831347794,0.19363224704084453,0
59.32400484053073,12.15466078540962,0.19367108594758894,0
56.89498086239696,13.894757439738305,0.17830524750207644,0
53.78992402605056,13.427863252472891,0.16752930010815106,0
48.455735931270496,10.702390104604442,0.16038140162092954,0
49.65633744801247,13.476218150419532,0.15661400769192568,0
51.173049847857634,15.931488310451686,0.14283310665862797,0
47.67151568884078,14.322459106163802,0.13973596617118023,0
45.41125328373262,16.153696071457468,0.11910319444214532,0
46.539870957879614,19.39118318520386,0.12432705388259904,0
45.34857878013144,19.357813504499603,0.10333702295052853,0
44.00021876744319,19.88934968810062,0.10995356089243843,0
