angulo_braco_esq,angulo_cotovelo_esq,angulo_braco_dir,angulo_cotovelo_dir,altura_punho_esq,altura_punho_dir,simetria_braco,label
25.769247784515322,170.9391838691576,26.422978234264868,85.7781447563585,1.0398716369910688,-0.6838050512709354,0.6537304497495455,0
27.35771412311376,172.6690567638445,27.368505627204716,86.1532488089012,1.0293021680216803,-0.6614236111111111,0.01079150409095675,0
28.771902541798312,175.10424500832724,27.125258196198754,87.79081567926112,1.0001111638426776,-0.6678381625471912,1.646644345599558,0
31.04777201083566,176.03848508487434,31.648061241739796,92.8481717280484,0.980310242823401,-0.6611083681891436,0.600289230904135,0
34.557655410195835,174.79536590536804,31.465845756556565,97.08680467068697,0.9142765463790293,-0.642279212124204,3.0918096536392703,0
36.897434500642795,176.80503658955453,35.748637482490835,100.30075396481035,0.905587634042248,-0.6362356665677685,1.14879701815196,0
41.137303940742314,177.70809557711124,34.838921840261,100.3176617697935,0.857120995463349,-0.6419501182293732,6.298382100481312,0
44.66744607767142,178.1619131833402,36.32465535780352,174.28146000156843,0.7958545376590426,0.8149220326076,8.3427907198679,0
59.51743626847128,175.33014805472953,45.79605672933153,117.86933677741888,0.5672742763615166,-0.6195028013821314,13.721379539139747,0
71.77748602232568,174.67542081541797,65.18692660062031,135.92293895514868,0.24979274895460754,-0.6387252939309915,6.590559421705365,0
70.21607954229378,179.61702649834237,63.39000264642355,132.44796426581814,0.3169008467704415,-0.6483484985444056,6.826076895870237,0
65.55663336022842,176.2161823282589,57.31266093659017,125.8127513177983,0.3941862676462796,-0.6383910961185036,8.243972423638247,0
42.87393904041628,174.44724816553583,39.207799981162076,170.86502449249517,0.7429052041122,0.7047499991770333,3.6661390592542062,0
42.04242314508433,179.02565221921685,34.22890765040288,166.67286436007655,0.7621373726632468,0.7147500343625077,7.813515494681447,0
37.82342518861386,174.98252451962404,31.676985683601544,101.00090166446637,0.8174599022189666,-0.6385373870854957,6.146439505012317,0
36.08000959946212,178.4634463376573,31.989038417090164,97.06984321909614,0.8448214851722594,-0.6541605384038733,4.090971182371959,0
29.765489825438838,172.71422925886432,23.047632258776908,83.8807905962815,1.040693750011015,-0.6983868778958388,6.71785756666193,0
30.967556800227204,167.83696896242546,24.222767763308923,159.5324100325447,0.9993309433613913,1.010062950607529,6.744789036918281,0
37.29394141291596,171.35561734493882,18.874634787082872,86.46939700922435,0.9222007278267041,-0.6644044421253612,18.41930662583309,0
61.154768348382326,166.1616510363524,47.054403248495134,118.04732086756505,0.45686951855516256,-0.6546216021330471,14.100365099887192,0
63.07811334119352,162.36833718998778,53.81550320486732,126.91981033224923,0.3848990320531187,-0.6481423807922132,9.262610136326202,0
83.95866275720032,163.90389151242317,74.34398235125558,154.43212966957748,-0.009638111307224844,-0.5857607313339163,9.614680405944739,0
90.39200687568172,168.85911845543052,81.95031156993842,164.34865606177053,-0.09922371085972252,-0.5891721008981362,8.441695305743295,0
56.81542155394908,166.87357101591644,56.091570624824655,123.97472907504374,0.5385176531973831,-0.6484498719650909,0.7238509291244242,0
